CASES	LEFT	NODE	RIGHT	TRANSLATION	INCLUSION	TRANSLATION_NODE	CXN_ENG	CXN_IDN	TRANSLATION_POS	VOICE_ENG	VOICE_IDN	CLAUSE_TYPE_ENG	FINITENESS_ENG	ROLE_ENG_THIEF	SYN_ENG_THIEF	LEX_ENG_THIEF	ANIMACY_ENG_THIEF	ROLE_ENG_TARGET	SYN_ENG_TARGET	LEX_ENG_TARGET	TYPE_ENG_TARGET	ANIMACY_ENG_TARGET	ROLE_ENG_GOODS	LEX_ENG_GOODS	ANIMACY_ENG_GOODS	SYN_ENG_GOODS	ROLE_IDN_THIEF	SYN_IDN_THIEF	LEX_IDN_THIEF	ANIMACY_IDN_THIEF	ROLE_IDN_TARGET	SYN_IDN_TARGET	LEX_IDN_TARGET	TYPE_IDN_TARGET	ANIMACY_IDN_TARGET	ROLE_IDN_GOODS	LEX_IDN_GOODS	ANIMACY_IDN_GOODS	SYN_IDN_GOODS	N_WORD_ENG	N_WORD_IDN
1	Because everybody else	robs	banks.	Karena orang lain merampas bank.	NA	merampas	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	everybody	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	orang	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	5	5
3	Mr. A always	robs	in disguise..	Mr. A selalu ngerampok dengan menyamar..	NA	ngerampok	INTR	INTR	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	Mr. A	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	TRUE	AV_gr_subj	Mr. A	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	6	6
6	Don't confuse that with	robbing	, which means the removal of the barrow's contents.	Jangan bingung bahwa dengan merampok, yang berarti penghapusan dari isi barrow.	NA	merampok	NOMINAL	NOMINAL	verb	NOMINAL	AV	imperative	FALSE	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	15	11
8	And you're accusing them of	robbing	?	Dan kalian menuduh mereka merampok?	NA	merampok	NOMINAL	NOMINAL	verb	NOMINAL	AV	interrogative	FALSE	TRUE	Non-SUBJ_MainClause_DO-with-PP-gerund-modif	them	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	TRUE	AV_gr_subj_in_SubCl	mereka	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	7	5
10	Well, like	robbing	a bank?	Yah, seperti merampok bank?	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	NOMINAL	AV	interrogative	FALSE	FALSE	NA	NA	NA	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	5	4
11	But there's a bit fucking difference between hearing about a bank robbery and actually	robbing	a bank.	Tapi ada sedikit perbedaan antara mendengar tentang perampokan bank dan benar-benar merampok bank.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	NOMINAL	AV	declarative	FALSE	FALSE	NA	NA	NA	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	18	13
12	We're	robbing	a casino?	Kita akan merampok sebuah kasino?	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	AV_gr_subj	we	animate	TRUE	direct_object	casino	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	kita	animate	TRUE	direct_object	kasino	source	inanimate	FALSE	NA	NA	NA	5	5
13	Got sent to the rock for	robbing	a grocery store.	Dikirim untuk merampok sebuah toko kelontong.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	NOMINAL	AV	declarative	FALSE	FALSE	NA	NA	NA	TRUE	direct_object	grocery store	source	inanimate	FALSE	NA	NA	NA	FALSE	NA	NA	NA	TRUE	direct_object	toko	source	inanimate	FALSE	NA	NA	NA	10	6
14	Bad enough you got us	robbing	a military base, now we got to worry about all these motherfucking Rambos killing our asses.	Cukup buruk kau buat kita merampok pangkalan militer, sekarang kita harus khawatirkan semua Rambo itu membunuhi kita.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	NOMINAL	AV	declarative	FALSE	TRUE	AV_gr_subj_in_SubCl	us	animate	TRUE	direct_object	military base	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj_in_SubCl	kita	animate	TRUE	direct_object	pangkalan	source	inanimate	FALSE	NA	NA	NA	22	17
18	He was just	robbing	banks then.	Saat itu ia hanya merampok bank.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	he	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	TRUE	AV_gr_subj	ia	animate	TRUE	direct_object	bank	source	inanimate	FALSE	NA	NA	NA	6	6
